Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Occasion (product.metafields.shopify.occasion),Scent (product.metafields.shopify.scent),Season (product.metafields.shopify.season),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
shell-v1-perfume-oil-attar-oud-5-ml-roll-on,Shell v1 Perfume Oil Attar/Oud (5 mL Roll-On),"<p><strong>FRAGRANCE NOTES</strong></p>
<p><strong>TOP NOTES:</strong> Sweet Orange, Clove, Lavender<br><strong>MIDDLE NOTES:</strong> Rose, Patchouli<br><strong>BASE NOTES:</strong> Agarwood (Oud), Sandalwood, Labdanum (Amber), Clean Musk</p>
<p><strong>OLFACTIVE FAMILY:</strong> Woody – Floral – Amber (Rose–Oud)<br></p>",Akhdar Perfumes,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume Oil,"",false,Title,Default Title,,,,,,,,,28.349523125,shopify,0,deny,manual,9.99,,true,true,,,,,,,,,false,,,,,,,,,,,,,,,,,,,male,,oz,,,draft
perfume-oil,Shell v2 For Men - Perfume Oil (5 mL Roll-On),"<p><strong>FRAGRANCE NOTES</strong></p>
<p><strong>TOP NOTES:</strong> Sweet Orange, Clove, Lavender<br><strong>MIDDLE NOTES:</strong> Rose, Patchouli<br><strong>BASE NOTES:</strong> Agarwood (Oud), Sandalwood, Labdanum (Amber), Clean Musk</p>
<p><strong>OLFACTIVE FAMILY:</strong> Woody - Floral - Amber (Rose-Oud)<br></p>",Akhdar Perfumes,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume Oil,"",true,Title,Default Title,,,,,,,,,14.558,shopify,25,deny,manual,10.50,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0769/3949/3612/files/Shell_v2_-_Perfume_Oil_5_mL_Roll-On_Front_English.png?v=1759796142,1,Shell v2 - Perfume Oil (5 mL Roll-On) Front (English),false,,,,,,,,,,,,,,,'5,casual; formal; other; everyday; special-occasion,woody; rose; herbal; sandalwood; citrus; jasmine; floral,winter; fall; spring; summer,male,,g,,,active
perfume-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0769/3949/3612/files/Shell_v2_-_Perfume_Oil_5_mL_Roll-On_Front_Arabic.png?v=1759796142,2,Shell v2 - Perfume Oil (5 mL Roll-On) Front (Arabic),,,,,,,,,,,,,,,,,,,,,,,,,
perfume-oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0769/3949/3612/files/Shell_v2_-_Perfume_Oil_5_mL_Roll-On_Side.png?v=1759796142,3,Shell v2 - Perfume Oil (5 mL Roll-On) Side,,,,,,,,,,,,,,,,,,,,,,,,,
